,symbol,actual,predicted,date
0,JCI,76.31999969482422,76.14861,2024-10-30 00:00:00+00:00
1,JCI,75.55000305175781,75.83144,2024-10-31 00:00:00+00:00
2,JCI,75.5,75.25273,2024-11-01 00:00:00+00:00
3,JCI,74.2300033569336,75.03409,2024-11-04 00:00:00+00:00
4,JCI,74.86000061035156,74.394035,2024-11-05 00:00:00+00:00
5,JCI,81.47000122070312,82.17355,2024-11-06 00:00:00+00:00
6,JCI,81.91000366210938,83.0418,2024-11-07 00:00:00+00:00
7,JCI,84.62000274658203,83.51458,2024-11-08 00:00:00+00:00
8,JCI,86.5999984741211,82.94437,2024-11-11 00:00:00+00:00
9,JCI,85.16000366210938,83.431526,2024-11-12 00:00:00+00:00
10,JCI,85.70999908447266,83.43773,2024-11-13 00:00:00+00:00
11,JCI,85.13999938964844,83.16273,2024-11-14 00:00:00+00:00
12,JCI,84.4000015258789,83.03693,2024-11-15 00:00:00+00:00
13,JCI,83.6500015258789,82.96057,2024-11-18 00:00:00+00:00
14,JCI,83.52999877929688,82.96057,2024-11-19 00:00:00+00:00
15,JCI,82.9800033569336,82.99895,2024-11-20 00:00:00+00:00
16,JCI,83.98999786376953,82.89936,2024-11-21 00:00:00+00:00
17,JCI,83.44999694824219,82.81529,2024-11-22 00:00:00+00:00
18,JCI,83.33999633789062,82.75296,2024-11-25 00:00:00+00:00
19,JCI,83.75,82.89424,2024-11-26 00:00:00+00:00
20,HAL,27.690000534057617,28.002756,2024-10-30 00:00:00+00:00
21,HAL,27.739999771118164,27.853058,2024-10-31 00:00:00+00:00
22,HAL,27.68000030517578,27.939959,2024-11-01 00:00:00+00:00
23,HAL,28.1299991607666,28.091213,2024-11-04 00:00:00+00:00
24,HAL,28.530000686645508,28.429071,2024-11-05 00:00:00+00:00
25,HAL,30.5,30.667805,2024-11-06 00:00:00+00:00
26,HAL,29.549999237060547,29.972927,2024-11-07 00:00:00+00:00
27,HAL,29.229999542236328,29.770262,2024-11-08 00:00:00+00:00
28,HAL,30.1299991607666,30.135643,2024-11-11 00:00:00+00:00
29,HAL,30.190000534057617,30.587116,2024-11-12 00:00:00+00:00
30,HAL,30.190000534057617,30.516016,2024-11-13 00:00:00+00:00
31,HAL,30.110000610351562,30.438137,2024-11-14 00:00:00+00:00
32,HAL,29.690000534057617,30.792622,2024-11-15 00:00:00+00:00
33,HAL,30.450000762939453,30.702545,2024-11-18 00:00:00+00:00
34,HAL,30.469999313354492,30.801907,2024-11-19 00:00:00+00:00
35,HAL,31.18000030517578,31.155771,2024-11-20 00:00:00+00:00
36,HAL,31.8700008392334,32.276073,2024-11-21 00:00:00+00:00
37,HAL,31.940000534057617,32.26043,2024-11-22 00:00:00+00:00
38,HAL,31.989999771118164,32.40586,2024-11-25 00:00:00+00:00
39,HAL,31.809999465942383,32.067688,2024-11-26 00:00:00+00:00
40,DHR,242.32000732421875,243.42015,2024-10-30 00:00:00+00:00
41,DHR,245.66000366210938,247.18712,2024-10-31 00:00:00+00:00
42,DHR,247.75999450683594,251.42674,2024-11-01 00:00:00+00:00
43,DHR,247.17999267578125,249.86824,2024-11-04 00:00:00+00:00
44,DHR,250.07000732421875,248.48117,2024-11-05 00:00:00+00:00
45,DHR,247.75999450683594,251.48944,2024-11-06 00:00:00+00:00
46,DHR,246.10000610351562,248.88564,2024-11-07 00:00:00+00:00
47,DHR,245.38999938964844,245.76085,2024-11-08 00:00:00+00:00
48,DHR,243.25,244.88461,2024-11-11 00:00:00+00:00
49,DHR,239.60000610351562,243.27313,2024-11-12 00:00:00+00:00
50,DHR,241.52999877929688,241.28484,2024-11-13 00:00:00+00:00
51,DHR,239.3800048828125,239.85893,2024-11-14 00:00:00+00:00
52,DHR,230.5,235.43562,2024-11-15 00:00:00+00:00
53,DHR,230.05999755859375,228.69281,2024-11-18 00:00:00+00:00
54,DHR,230.83999633789062,228.58203,2024-11-19 00:00:00+00:00
55,DHR,233.10000610351562,228.58203,2024-11-20 00:00:00+00:00
56,DHR,235.0500030517578,232.30803,2024-11-21 00:00:00+00:00
57,DHR,235.83999633789062,235.60866,2024-11-22 00:00:00+00:00
58,DHR,237.67999267578125,236.89964,2024-11-25 00:00:00+00:00
59,DHR,236.5800018310547,236.55032,2024-11-26 00:00:00+00:00
60,RTX,121.86000061035156,121.384926,2024-10-30 00:00:00+00:00
61,RTX,120.98999786376953,120.94349,2024-10-31 00:00:00+00:00
62,RTX,118.75,120.57313,2024-11-01 00:00:00+00:00
63,RTX,118.0,118.6428,2024-11-04 00:00:00+00:00
64,RTX,118.9800033569336,118.0291,2024-11-05 00:00:00+00:00
65,RTX,121.58999633789062,122.00158,2024-11-06 00:00:00+00:00
66,RTX,120.08000183105469,121.43085,2024-11-07 00:00:00+00:00
67,RTX,123.55000305175781,123.44687,2024-11-08 00:00:00+00:00
68,RTX,124.55999755859375,125.47274,2024-11-11 00:00:00+00:00
69,RTX,123.37000274658203,124.53,2024-11-12 00:00:00+00:00
70,RTX,123.75,122.3287,2024-11-13 00:00:00+00:00
71,RTX,118.91999816894531,123.47883,2024-11-14 00:00:00+00:00
72,RTX,118.52999877929688,117.74946,2024-11-15 00:00:00+00:00
73,RTX,119.38999938964844,118.644516,2024-11-18 00:00:00+00:00
74,RTX,118.95999908447266,120.27571,2024-11-19 00:00:00+00:00
75,RTX,119.1500015258789,118.16376,2024-11-20 00:00:00+00:00
76,RTX,120.52999877929688,119.84654,2024-11-21 00:00:00+00:00
77,RTX,120.7699966430664,120.19211,2024-11-22 00:00:00+00:00
78,RTX,118.6500015258789,120.22658,2024-11-25 00:00:00+00:00
79,RTX,120.61000061035156,119.27639,2024-11-26 00:00:00+00:00
80,HDB,64.16999816894531,64.78096,2024-10-30 00:00:00+00:00
81,HDB,63.029998779296875,63.66457,2024-10-31 00:00:00+00:00
82,HDB,63.20000076293945,62.961308,2024-11-01 00:00:00+00:00
83,HDB,62.5099983215332,62.67224,2024-11-04 00:00:00+00:00
84,HDB,64.23999786376953,64.08203,2024-11-05 00:00:00+00:00
85,HDB,64.45999908447266,64.34253,2024-11-06 00:00:00+00:00
86,HDB,63.75,63.191338,2024-11-07 00:00:00+00:00
87,HDB,64.08999633789062,63.68788,2024-11-08 00:00:00+00:00
88,HDB,64.5199966430664,64.71605,2024-11-11 00:00:00+00:00
89,HDB,62.13999938964844,62.992706,2024-11-12 00:00:00+00:00
90,HDB,61.380001068115234,61.30047,2024-11-13 00:00:00+00:00
91,HDB,61.90999984741211,62.036293,2024-11-14 00:00:00+00:00
92,HDB,61.900001525878906,61.696224,2024-11-15 00:00:00+00:00
93,HDB,62.31999969482422,62.252087,2024-11-18 00:00:00+00:00
94,HDB,63.150001525878906,62.865364,2024-11-19 00:00:00+00:00
95,HDB,63.31999969482422,63.332428,2024-11-20 00:00:00+00:00
96,HDB,63.58000183105469,63.350544,2024-11-21 00:00:00+00:00
97,HDB,64.5,64.13166,2024-11-22 00:00:00+00:00
98,HDB,66.91000366210938,66.22227,2024-11-25 00:00:00+00:00
99,HDB,66.6500015258789,66.220085,2024-11-26 00:00:00+00:00
100,AXP,274.0799865722656,275.20276,2024-10-30 00:00:00+00:00
101,AXP,270.0799865722656,271.58322,2024-10-31 00:00:00+00:00
102,AXP,272.69000244140625,275.93134,2024-11-01 00:00:00+00:00
103,AXP,270.19000244140625,269.71075,2024-11-04 00:00:00+00:00
104,AXP,275.94000244140625,273.7673,2024-11-05 00:00:00+00:00
105,AXP,295.1600036621094,292.23404,2024-11-06 00:00:00+00:00
106,AXP,286.82000732421875,291.5526,2024-11-07 00:00:00+00:00
107,AXP,287.6000061035156,291.46176,2024-11-08 00:00:00+00:00
108,AXP,292.9700012207031,293.99088,2024-11-11 00:00:00+00:00
109,AXP,288.510009765625,293.03262,2024-11-12 00:00:00+00:00
110,AXP,287.6400146484375,292.71378,2024-11-13 00:00:00+00:00
111,AXP,288.29998779296875,292.77112,2024-11-14 00:00:00+00:00
112,AXP,286.8699951171875,292.97748,2024-11-15 00:00:00+00:00
113,AXP,285.5400085449219,292.84256,2024-11-18 00:00:00+00:00
114,AXP,285.54998779296875,292.85947,2024-11-19 00:00:00+00:00
115,AXP,287.7099914550781,292.70078,2024-11-20 00:00:00+00:00
116,AXP,293.0,293.26968,2024-11-21 00:00:00+00:00
117,AXP,301.29998779296875,291.81354,2024-11-22 00:00:00+00:00
118,AXP,305.2099914550781,291.81354,2024-11-25 00:00:00+00:00
119,AXP,305.57000732421875,294.48242,2024-11-26 00:00:00+00:00
120,AIG,76.83999633789062,77.05276,2024-10-30 00:00:00+00:00
121,AIG,75.87999725341797,76.62628,2024-10-31 00:00:00+00:00
122,AIG,75.72000122070312,76.30957,2024-11-01 00:00:00+00:00
123,AIG,76.33000183105469,75.99284,2024-11-04 00:00:00+00:00
124,AIG,75.38999938964844,76.31659,2024-11-05 00:00:00+00:00
125,AIG,77.0199966430664,78.795006,2024-11-06 00:00:00+00:00
126,AIG,76.58999633789062,76.35014,2024-11-07 00:00:00+00:00
127,AIG,75.58000183105469,76.306915,2024-11-08 00:00:00+00:00
128,AIG,75.37999725341797,76.56154,2024-11-11 00:00:00+00:00
